[00:00:00]	[OOC] Drake Salvador: Aiight
[15:06:15]	Death Razor (STEAM_0:1:66880501) has disconnected.
[15:06:15]	[LOOC] OTA.C08-ECHO.OSS.19520: ohboy
[15:06:18]	[LOOC] OTA.C08-ECHO.OSS.19520: he lagging out-
[15:06:19]	[OOC] OTA.C08-ECHO.OSS.19520: welp
[15:06:28]	[LOOC] OTA.C08-ECHO.OSS.19520: you good guy
[15:06:40]	[LOOC] Drake Salvador: ye
[15:06:45]	[LOOC] OTA.C08-ECHO.OSS.19520: you just lagged out bad
[15:07:04]	OTA.C08-ECHO.OSS.19520 has spawned a 'Entity [324][ix_airvent]'.
[15:07:15]	[LOOC] OTA.C08-ECHO.OSS.19520: don't know where the air vent went
[15:07:50]	[OOC] OTA.C08-ECHO.OSS.19520: Player hnbug01 has joined the game
[15:07:52]	[OOC] OTA.C08-ECHO.OSS.19520: da feng fo today
[15:08:01]	[ME] Drake Salvador: starts to remove his gear, revealing only slightly damaged undergear, which would just be a black and red jacket with sweatpants.
[15:08:04]	Drake Salvador ran 'EquipUn' on item 'Conscript Hazmat Armor' (#14140)
[15:08:14]	[OOC] Jim Bostello: dont worry
[15:08:15]	[OOC] Jim Bostello: Player Death Razor has joined the gamePlayer hnbug01 has joined the game
[15:08:16]	Drake Salvador ran 'drop' on item 'Conscript Hazmat Armor' (#14140)
[15:08:16]	Drake Salvador has lost a 'Conscript Hazmat Armor' #14140.
[15:08:18]	[OOC] OTA.C08-ECHO.OSS.19520: ye i see
[15:08:26]	[ME] OTA.C08-ECHO.OSS.19520: picks up the armor with an off hand.
[15:08:34]	Death Razor has connected.
[15:08:37]	OTA.C08-ECHO.OSS.19520 used command '/Radio 10-68 to my location.'.
[15:08:41]	OTA.C08-ECHO.OSS.19520 used command '/Radio Two suits in need of disposal.'.
[15:08:48]	OTA.C08-ECHO.OSS.19520 used command '/Radio Torn beyond need of repair.'.
[15:08:59]	Death Razor loaded the character 'Andrew 'Razor' Gonzalez'
[15:09:03]	[OOC] Andrew 'Razor' Gonzalez: Had to reconnect
[15:09:06]	hnbug01 has connected.
[15:09:06]	[OOC] OTA.C08-ECHO.OSS.19520: you're good
[15:09:15]	[OOC] OTA.C08-ECHO.OSS.19520: i'm getting drake done and i'll let you through andrew
[15:09:24]	[OOC] Andrew 'Razor' Gonzalez: Copy that
[15:09:36]	deantheone loaded the character 'CCA.C08-UNION.i5.01477'
[15:09:37]	[ME] Drake Salvador: begins to pull out his uniform, unfolding it and sliding into it, wincing as he pulls the uniform over the bandages.
[15:09:40]	Drake Salvador ran 'Equip' on item 'Green Citizen Suit' (#13989)
[15:09:44]	Drake Salvador used command '/CharDesc'.
[15:09:55]	[OOC] CCA.C08-UNION.i5.01477: ill process him, unless you have to do it
[15:09:58]	[ME] OTA.C08-ECHO.OSS.19520: would take the MP7 out of his sling and place it under the Combine interface.
[15:09:59]	Drake Salvador used command '/CharDesc This man stands at 6'5", seeming to weigh around 200-215 LBS. Jet black hair and blue eyes. His voice is deep and raspy, with no prominent accent besides a hint of Southern here and there. Scars adorn his knuckles and a single vertical scar across his left eye.'.
[15:10:02]	[OOC] OTA.C08-ECHO.OSS.19520: not that kind of processing
[15:10:05]	[OOC] OTA.C08-ECHO.OSS.19520: but i appreciate it
[15:10:12]	[OOC] OTA.C08-ECHO.OSS.19520: i do ahve to do it
[15:10:16]	OTA.C08-ECHO.OSS.19520 ran 'drop' on item 'MP7' (#14135)
[15:10:16]	OTA.C08-ECHO.OSS.19520 has lost a 'MP7' #14135.
[15:10:22]	[ME] OTA.C08-ECHO.OSS.19520: would proceed to tie the individual. Would they resist?
[15:10:28]	[ME] Drake Salvador: does not resist.
[15:10:29]	[ME] OTA.C08-ECHO.OSS.19520: would sling his AR2 before doing so.
[15:10:30]	OTA.C08-ECHO.OSS.19520 ran 'Use' on item 'Zip Tie' (#14176)
[15:10:37]	[IT] OTA.C08-ECHO.OSS.19520: The man has made a good choice. He lives another day.
[15:10:37]	OTA.C08-ECHO.OSS.19520 used command '/PlySearch'.
[15:10:43]	OTA.C08-ECHO.OSS.19520 has gained a 'Suitcase' #13987.
[15:10:43]	OTA.C08-ECHO.OSS.19520 has gained a 'Sewn Cloth' #14018.
[15:10:43]	OTA.C08-ECHO.OSS.19520 has gained a 'Citizen Filter' #14013.
[15:10:43]	OTA.C08-ECHO.OSS.19520 has gained a 'Citizen Filter' #14009.
[15:10:43]	OTA.C08-ECHO.OSS.19520 has gained a 'Cloth Scrap' #14019.
[15:10:43]	OTA.C08-ECHO.OSS.19520 has gained a 'Flashlight' #14042.
[15:10:48]	OTA.C08-ECHO.OSS.19520 used command '/PlySearch'.
[15:10:51]	Drake Salvador has gained a 'Suitcase' #13987.
[15:10:51]	Drake Salvador has gained a 'Sewn Cloth' #14018.
[15:10:51]	Drake Salvador has gained a 'Citizen Filter' #14013.
[15:10:51]	Drake Salvador has gained a 'Citizen Filter' #14009.
[15:10:51]	Drake Salvador has gained a 'Cloth Scrap' #14019.
[15:10:51]	Drake Salvador has gained a 'Flashlight' #14042.
[15:10:54]	OTA.C08-ECHO.OSS.19520 used command '/Radio Salvador is clean.'.
[15:10:56]	[ME] OTA.C08-ECHO.OSS.19520: would take out his combat knife and cut the individual's ties.
[15:11:03]	CCA.C08-UNION.i5.01477 used command '/Radio Copy.'.
[15:11:06]	OTA.C08-ECHO.OSS.19520 entered observer.
[15:11:09]	OTA.C08-ECHO.OSS.19520 has spawned a 'Entity [2921][gmod_sent_vehicle_fphysics_base]'.
[15:11:12]	OTA.C08-ECHO.OSS.19520 has spawned a 'Entity [2972][gmod_sent_vehicle_fphysics_base]'.
[15:11:14]	OTA.C08-ECHO.OSS.19520 has spawned a 'Entity [2921][gmod_sent_vehicle_fphysics_base]'.
[15:11:16]	OTA.C08-ECHO.OSS.19520 has spawned a 'Entity [2972][gmod_sent_vehicle_fphysics_base]'.
[15:11:17]	OTA.C08-ECHO.OSS.19520 has spawned a 'Entity [2921][gmod_sent_vehicle_fphysics_base]'.
[15:11:20]	OTA.C08-ECHO.OSS.19520 exited observer at their location.
[15:11:28]	CCA.C08-UNION.i5.01477 used the 'Street Market' vendor.
[15:11:38]	[IT] OTA.C08-ECHO.OSS.19520: just kinda pretend this is a regular APC
[15:11:44]	[IT] OTA.C08-ECHO.OSS.19520: Or rather a Combine one.
[15:11:50]	[ME] OTA.C08-ECHO.OSS.19520: would open the back doors of the APC.
[15:11:56]	[ME] Drake Salvador: steps inside slowly.
[15:12:01]	[LOOC] OTA.C08-ECHO.OSS.19520: can you press 2 for me
[15:12:13]	deantheone loaded the character 'Jim Bostello'
[15:12:14]	[ME] OTA.C08-ECHO.OSS.19520: would shut the doors of the APC and get in the front seat.
[15:12:16]	[LOOC] Drake Salvador: Back in 'Nam.
[15:12:29]	[LOOC] OTA.C08-ECHO.OSS.19520: lmao
[15:13:32]	[ME] OTA.C08-ECHO.OSS.19520: would open the back doors of the APC.
[15:13:36]	[LOOC] OTA.C08-ECHO.OSS.19520: void
[15:13:47]	[ME] OTA.C08-ECHO.OSS.19520: slams the doors once more and locks them.
[15:14:01]	[ME] OTA.C08-ECHO.OSS.19520: proceeds to lock the APC on both doors, left and right.
[15:14:17]	[ME] OTA.C08-ECHO.OSS.19520: would unsling his AR2.
[15:14:37]	OTA.C08-ECHO.OSS.19520 used command '/ToggleRaise'.
[15:14:52]	OTA.C08-ECHO.OSS.19520 used command '/ToggleRaise'.
[15:15:26]	Jim Bostello ran 'Equip' on item 'Green Citizen Suit' (#14007)
[15:15:46]	OTA.C08-ECHO.OSS.19520 entered observer.
[15:15:48]	OTA.C08-ECHO.OSS.19520 exited observer at their location.
[15:16:12]	matt saton loaded the character 'UU-CmD.17'
[15:16:19]	UU-CmD.08 used command '/CharSetName cmd UU-CmD.08'.
[15:16:21]	UU-CmD.08 entered observer.
[15:16:27]	UU-CmD.08 exited observer at their location.
[15:16:59]	Jim Bostello ran 'take' on item 'Conscript Hazmat Armor' (#14140)
[15:16:59]	Jim Bostello has gained a 'Conscript Hazmat Armor' #14140.
[15:17:03]	Jim Bostello ran 'EquipUn' on item 'Green Citizen Suit' (#14007)
[15:17:05]	Jim Bostello ran 'Equip' on item 'Conscript Hazmat Armor' (#14140)
[15:17:13]	Jim Bostello ran 'take' on item 'Conscript Hazmat Armor' (#14139)
[15:17:13]	Jim Bostello has gained a 'Conscript Hazmat Armor' #14139.
[15:17:15]	[OOC] Jim Bostello: oh no
[15:17:15]	[ME] UU-CmD.08: doesn't resist being tied, searched or anything. They are completely compliant given that the situation does not escalate.
[15:17:24]	Jim Bostello ran 'take' on item 'Shovel' (#14053)
[15:17:29]	Jim Bostello ran 'take' on item 'Scrap Metal' (#10599)
[15:17:29]	Jim Bostello has gained a 'Scrap Metal' #10599.
[15:17:32]	Jim Bostello ran 'take' on item 'Citizen Filter' (#14174)
[15:17:32]	Jim Bostello has gained a 'Citizen Filter' #14174.
[15:17:42]	Jim Bostello ran 'take' on item 'MP7' (#14135)
[15:17:42]	Jim Bostello has gained a 'MP7' #14135.
[15:17:43]	UU-CmD.08 entered observer.
[15:17:43]	[ME] Andrew 'Razor' Gonzalez: would move back a bit, seeing the scary unit
[15:17:43]	UU-CmD.08 exited observer at their location.
[15:18:23]	Jim Bostello ran 'Consume' on item 'UU Brand Cheese' (#14114)
[15:18:29]	[LOOC] UU-CmD.08: so does your massive height
[15:18:32]	[LOOC] Drake Salvador: c:
[15:19:39]	[ME] UU-CmD.08: unclips his stunstick from his utility belt.
[15:19:51]	[ME] Andrew 'Razor' Gonzalez: would face the wall, sighing
[15:20:16]	[ME] UU-CmD.08: would flick his stunstick on. You hear it be adjusted twice. Hopefully that's not a bad thing.
[15:20:16]	UU-CmD.08 used command '/ToggleRaise'.
[15:20:43]	[ME] Andrew 'Razor' Gonzalez: would close his eyes slowly, preparing for the whack on his head
[15:21:11]	UU-CmD.08 has gained 10 tokens.
[15:21:16]	[ME] UU-CmD.08: would proceed to raise his arm and thrust it towards the citizen's back. The stunstick was on high, and you can damn well feel it. Feels like he put his back into it, too.
[15:21:19]	Andrew 'Razor' Gonzalez has taken 5 damage from UU-CmD.08.
[15:21:38]	[ME] UU-CmD.08: waits a moment as the citizen absorbs the pain. He keeps the stunstick raised, though.
[15:21:54]	[ME] Andrew 'Razor' Gonzalez: would fall onto the floor, grunting in pain, trying to get himself back up.
[15:22:00]	[Y] Andrew 'Razor' Gonzalez: FUCK.
[15:22:38]	hnbug01 loaded the character 'Feng Yi 'Eric' Hseuh'
[15:22:39]	[ME] Andrew 'Razor' Gonzalez: would slowly scratch himself back up, grunting in pain from the aftermath of the first swing still.
[15:23:10]	Jim Bostello used command '/PM cmd am i supposed to be blinded'.
[15:23:15]	UU-CmD.08 used command '/PM jim no'.
[15:23:29]	[ME] UU-CmD.08: would thrust his stunstick toward the man's back, again putting his upper back into it. Not to get all robocop-y, but he's definitely stronger than the average i3.
[15:23:43]	[ME] UU-CmD.08: wouldn't let the stunstick back though. He keeps it there, pressing into the man's skin.
[15:24:27]	[ME] Andrew 'Razor' Gonzalez: would feel his back pressed on by the stunstick, almost screaming in pain from the shock and endurance to his body
[15:24:44]	Jim Bostello used command '/PM cmd there gonna be an event soon or somethin?'.
[15:24:49]	[Y] Andrew 'Razor' Gonzalez: You people killed my church, torturing me does nothing!
[15:24:54]	UU-CmD.08 used command '/PM jim no, i'm debriefing these guys'.
[15:24:59]	Jim Bostello used command '/Reply ohhh'.
[15:25:04]	[ME] UU-CmD.08: removes the stunstick and flicks it off.
[15:25:07]	UU-CmD.08 used command '/ToggleRaise'.
[15:25:22]	[ME] Andrew 'Razor' Gonzalez: would fall onto the floor, coughing from the pain of shock
[15:26:11]	UU-CmD.08 has gained 10 tokens.
[15:27:18]	[Y] Andrew 'Razor' Gonzalez: They were kids, Drake.
[15:27:25]	UU-CmD.08 used command '/CharFallOver 0.1'.
[15:27:28]	[LOOC] UU-CmD.08: FUCK'S SAKE
[15:27:31]	[LOOC] Andrew 'Razor' Gonzalez: noice
[15:28:05]	Jim Bostello ran 'Equip' on item 'Green Citizen Suit' (#14007)
[15:28:06]	Jim Bostello ran 'EquipUn' on item 'Conscript Hazmat Armor' (#14140)
[15:28:07]	Jim Bostello ran 'Equip' on item 'Green Citizen Suit' (#14007)
[15:28:24]	[ME] Andrew 'Razor' Gonzalez: sighs, still leaning on the wall from the pain
[15:28:34]	[ME] Jim Bostello: would grab the sheet metal, hurrying it over
[15:28:45]	[IT] UU-CmD.08: You hear an inhale from the commander.
[15:28:55]	[LOOC] UU-CmD.08: commander.*
[15:29:13]	UU-CmD.08 used command '/CharFallOver 0.1'.
[15:29:15]	[Y] UU-CmD.08: <:: NOW! ::>
[15:29:16]	[LOOC] Andrew 'Razor' Gonzalez: Good job
[15:29:17]	Jim Bostello has spawned 'models/props_debris/metal_panel02a.mdl'.
[15:29:25]	[ME] Andrew 'Razor' Gonzalez: would put his hands behind his back.
[15:29:32]	Jim Bostello has spawned 'models/props_debris/metal_panel01a.mdl'.
[15:29:45]	[ME] UU-CmD.08: would grab his wrist and forcefully grab it. He would put a zip tie around them. I'm going to assume you don't resist? You'd be stupid to.
[15:29:47]	[LOOC] Andrew 'Razor' Gonzalez: You'll find my character is a devout Catholic, relevant or not. Wanted to spice up
[15:29:53]	[IT] Andrew 'Razor' Gonzalez: No idiot
[15:29:58]	[IT] UU-CmD.08: But if you're going to resist, now would be the- yeah, I figured.
[15:30:02]	UU-CmD.08 has gained a 'Zip Tie' #14175.
[15:30:02]	UU-CmD.08 used command '/CharGiveItem cmd zip'.
[15:30:05]	UU-CmD.08 ran 'Use' on item 'Zip Tie' (#14175)
[15:30:16]	[LOOC] Drake Salvador: *Now would be, inside the Nexus, time to attack the Commander*
[15:30:17]	[ME] Jim Bostello: would take the plank, forcing it against the fence.
[15:30:37]	[LOOC] UU-CmD.08: boy do i have a hell of a story relating vaguely to that.
[15:30:42]	[ME] Jim Bostello: would take the screwdriver, unscrewing one of the shovel heads.
[15:30:51]	[ME] UU-CmD.08: clips his stunstick to his utility.
[15:30:53]	[LOOC] UU-CmD.08: belt.
[15:30:59]	[ME] UU-CmD.08: grabs the man by his wrist.
[15:31:02]	[IT] UU-CmD.08: It hurts.
[15:31:02]	[ME] Jim Bostello: would dig under where the fence would go, making sure the top stays even with the top of the fence.
[15:31:11]	UU-CmD.08 has gained 10 tokens.
[15:31:14]	[ME] Andrew 'Razor' Gonzalez: would grunt from the aftermath still, looking at him
[15:31:28]	[ME] Jim Bostello: would cover the bottom of the sheet metal in dirt, somewhat solidifying it.
[15:31:31]	[LOOC] UU-CmD.08: cunt
[15:31:34]	[LOOC] Drake Salvador: no u
[15:31:54]	[LOOC] UU-CmD.08: i had an awesome idea.
[15:31:57]	[LOOC] Andrew 'Razor' Gonzalez: What is it
[15:32:00]	[LOOC] UU-CmD.08: :)
[15:32:05]	[LOOC] Andrew 'Razor' Gonzalez: Torture time?
[15:32:07]	Drake Salvador ran 'EquipUn' on item 'Green Citizen Suit' (#13989)
[15:32:10]	[ME] UU-CmD.08: cuts the man's ties.
[15:32:10]	[ME] UU-CmD.08: would take out his combat knife and cut the individual's ties.
[15:32:25]	[ME] Andrew 'Razor' Gonzalez: would sit down on the chair slowly
[15:32:56]	[IT] UU-CmD.08: You notice that there are leather straps on the armrests if you look at them.
[15:33:06]	[ME] Andrew 'Razor' Gonzalez: would put his arms on the rests, noticing what is about to happen
[15:33:15]	[ME] Jim Bostello: would take the wooden plank, hurling it up.
[15:33:24]	[ME] UU-CmD.08: would forcefully strap down one of the man's arms onto the cold metal, then strap it in tightly.
[15:33:29]	[ME] Jim Bostello: would now take the large wooden plank, putting it in the empty slot in the wall.
[15:33:30]	[IT] UU-CmD.08: ICly the TV is off btw
[15:33:34]	[LOOC] UU-CmD.08: the screen rather.
[15:33:59]	[ME] UU-CmD.08: would strap down the man's other arm with a leather strap, nice and tight.
[15:34:14]	[ME] UU-CmD.08: adjusts the headrest to make the man's head point right toward the screemn.
[15:34:18]	[LOOC] UU-CmD.08: this is some clockwork orange shit
[15:34:21]	Jim Bostello has spawned 'models/gibs/wood_gib01e.mdl'.
[15:34:30]	[LOOC] Andrew 'Razor' Gonzalez: Brainwashing time, let's gooo
[15:34:31]	UU-CmD.08 has spawned a 'Entity [2931][ix_airvent]'.
[15:34:36]	[LOOC] UU-CmD.08: who said you're being brainwashed
[15:34:41]	[ME] Andrew 'Razor' Gonzalez: would set his head back onto the rest
[15:34:44]	[LOOC] Andrew 'Razor' Gonzalez: Seemed like it
[15:35:08]	Jim Bostello has spawned 'models/props_debris/wood_board06a.mdl'.
[15:35:08]	[ME] UU-CmD.08: would use a leather strap on the headrest to hold the man's head in place. It's around his foreheda.
[15:35:10]	[LOOC] UU-CmD.08: forehead.*
[15:35:19]	[IT] UU-CmD.08: You can't really move your head. Your eyes directly point toward the screen.
[15:35:37]	[ME] Andrew 'Razor' Gonzalez: would take a deep breath, preparing for whatever may potentially happen
[15:35:48]	[ME] UU-CmD.08: begins typing on the terminal behind gonzalez.
[15:35:57]	[LOOC] Andrew 'Razor' Gonzalez: watched*
[15:36:04]	Jim Bostello has spawned 'models/props_debris/wood_chunk04a.mdl'.
[15:36:08]	Jim Bostello has spawned 'models/props_debris/wood_chunk06a.mdl'.
[15:36:11]	UU-CmD.08 has gained 10 tokens.
[15:36:29]	Jim Bostello has spawned 'models/props_junk/wood_crate001a_chunk01.mdl'.
[15:36:36]	[IT] UU-CmD.08: The screen begins to show what looks like a bird's eye view of a mid-population city. Not quite an urban center, but also not in the middle of cornfields.
[15:36:44]	[IT] UU-CmD.08: Suburban would be the close word to describe it.
[15:36:46]	Jim Bostello has spawned 'models/props_debris/wood_board06a.mdl'.
[15:36:49]	[LOOC] UU-CmD.08: closest*
[15:37:16]	[IT] UU-CmD.08: The video is in full color. Past the camera flies what looks like some unidentified synth, one you haven't seen before.
[15:37:37]	Jim Bostello has spawned 'models/props_debris/wood_board06a.mdl'.
[15:37:56]	[IT] UU-CmD.08: The synth flies up to the side of the camera, whatever it may be.
[15:38:20]	[IT] UU-CmD.08: You notice several ugly-looking synths on the side of it.
[15:38:35]	[IT] UU-CmD.08: Almost like it's transporting them.
[15:38:43]	[IT] UU-CmD.08: The camera tilts down. You realize it's a synth scanner.
[15:38:49]	Jim Bostello ran 'EquipUn' on item 'Green Citizen Suit' (#14007)
[15:38:49]	Jim Bostello ran 'Equip' on item 'Conscript Hazmat Armor' (#14139)
[15:39:00]	Jim Bostello ran 'EquipUn' on item 'Conscript Hazmat Armor' (#14139)
[15:39:02]	[IT] UU-CmD.08: The transport synth flies downwards, toward the city below, with a synth following.
[15:39:03]	Jim Bostello ran 'Equip' on item 'Conscript Hazmat Armor' (#14140)
[15:39:05]	Jim Bostello ran 'EquipUn' on item 'Conscript Hazmat Armor' (#14140)
[15:39:05]	Jim Bostello ran 'Equip' on item 'Conscript Hazmat Armor' (#14139)
[15:39:17]	[IT] UU-CmD.08: It looks like a larger downtown section. A subdivision of houses isn't far off.
[15:39:36]	Jim Bostello ran 'take' on item 'Pack of Screws' (#10588)
[15:39:36]	Jim Bostello has gained a 'Pack of Screws' #10588.
[15:39:37]	Jim Bostello ran 'take' on item 'Pack of Screws' (#6206)
[15:39:37]	Jim Bostello has gained a 'Pack of Screws' #6206.
[15:39:38]	[IT] UU-CmD.08: You eventually start to see people as the scanner gets closer to the ground. They're dressed in pre-war clothes, looking up terrified at the camera.
[15:40:12]	[Y] Andrew 'Razor' Gonzalez: No.
[15:40:15]	[IT] UU-CmD.08: The scanner zooms in on a woman, somewhere in her thirties.
[15:40:31]	[IT] UU-CmD.08: The last thing you see of her is a hole in her chest, and blood spurting out of it.
[15:40:39]	[IT] UU-CmD.08: She falls, dead.
[15:40:41]	[Y] Andrew 'Razor' Gonzalez: MARIA!
[15:40:48]	[ME] Andrew 'Razor' Gonzalez: would try to move in anger
[15:40:49]	[ME] Jim Bostello: would take screws, and the screwdriver from the base to screw the plants into the sheet metal and wall.
[15:40:53]	[LOOC] Andrew 'Razor' Gonzalez: Shell shock moment
[15:40:59]	[IT] UU-CmD.08: The synth lands.
[15:41:10]	[IT] UU-CmD.08: Several synths come out of it. The scanner decides to tail one closely.
[15:41:11]	UU-CmD.08 has gained 10 tokens.
[15:41:17]	[LOOC] UU-CmD.08: sorry, synth soldiers that is
[15:41:45]	[IT] UU-CmD.08: You see, from almost a first person view, as this synth soldier breaks into buildings and kills without discrimination. Brutally. The blood, the guts, everything.
[15:41:54]	Jim Bostello ran 'take' on item 'Screwdriver' (#10770)
[15:41:54]	Jim Bostello has gained a 'Screwdriver' #10770.
[15:42:37]	[ME] Andrew 'Razor' Gonzalez: would grunt in anger, trying to move but seeing is futile
[15:42:44]	Jim Bostello used command '/PM cmd after your done can you permaprop this i used in character items to do this'.
[15:42:47]	[IT] UU-CmD.08: They don't stop. Those who fight back are killed in even more gruesome ways. Split in half, limbs ripped off, and breaking their spine like a kit kat.
[15:42:50]	UU-CmD.08 used command '/PM jim yeah standby'.
[15:42:53]	[Y] Andrew 'Razor' Gonzalez: Answer me!
[15:43:57]	[Y] Andrew 'Razor' Gonzalez: That's my fucking church!
[15:44:00]	[Y] Andrew 'Razor' Gonzalez: THAT IS MY CHURCH.
[15:44:07]	[LOOC] UU-CmD.08: i mean IC you can do that but that's such an insane coincidence
[15:44:12]	[OOC] Jim Bostello: so im guessing because of the sudden turnover in events from last night they saved dispatch and now they are getting shipped into OTA or something of the sorts?
[15:44:13]	[LOOC] Andrew 'Razor' Gonzalez: It's shell shock
[15:44:16]	[LOOC] UU-CmD.08: ah alright
[15:44:26]	[OOC] UU-CmD.08: negative
[15:44:39]	[OOC] Jim Bostello: or just turned into stalkers
[15:44:43]	[Y] Andrew 'Razor' Gonzalez: WHAT DO YOU WANT FROM ME?!
