[00:00:01]	[LOOC] CCA.C17-UNION.i5.83253: ffs...
[18:18:49]	[ME] CCA.C17-UNION.OfC.56321: spat this out, his voice harsh even through the vocoder. He'd announce through it once more in a voice that just *sounded* like he was looking down on him. - "UNION, general division of the Civil Authority. Whilst yes, they do generalized patrolling of every city, they're tasked with riot control duties given the oppurtunity, along with this fact, they've extra gear given only to them, as well as sped up rollout of rank based equipment."
[18:19:15]	CCA.C17-UNION.OfC.56321 has gained 10 tokens.
[18:19:16]	Major-General Sir Issac Brock KB entered observer.
[18:19:36]	[ME] CCA.C17-UNION.i5.83253: Would nod slightly "So-Sorry Sir..."
[18:19:40]	[OOC] PVT Nathan Pierce: goofy
[18:19:48]	CCA.C17-UNION.i5.83253 has gained 10 tokens.
[18:19:56]	wendigo loaded the character 'Anomaly'
[18:20:03]	[OOC] Anomaly: birb
[18:20:14]	[ME] Anomaly: meows
[18:20:28]	Major-General Sir Issac Brock KB exited observer at their location.
[18:20:28]	Major-General Sir Issac Brock KB entered observer.
[18:20:49]	Major-General Sir Issac Brock KB exited observer at their location.
[18:20:49]	Major-General Sir Issac Brock KB entered observer.
[18:21:17]	[OOC] Anomaly: man the TEMPATION to kill another cp
[18:21:21]	[OOC] CCA.C17-UNION.OfC.56321: what 
[18:21:25]	PVT Nathan Pierce ran 'View' on item 'Notepad' (#36097)
[18:22:03]	Major-General Sir Issac Brock KB used command '/CharBan anomaly'.
[18:22:06]	wendigo loaded the character 'Ava Carter'
[18:22:08]	PVT Nathan Pierce ran 'View' on item 'Paper' (#33256)
[18:22:10]	[OOC] Ava Carter: WHY
[18:22:17]	[ME] CCA.C17-UNION.OfC.56321: nodded lightly, moving on as he waved his hand along to the side. - "HELIX then, go on."
[18:22:48]	Ava Carter used command '/PM major i changed my desc on it tho :('.
[18:22:58]	Major-General Sir Issac Brock KB used command '/PM ava The desc was the saaame :('.
[18:23:01]	Major-General Sir Issac Brock KB exited observer at their location.
[18:23:02]	Major-General Sir Issac Brock KB entered observer.
[18:23:02]	Major-General Sir Issac Brock KB exited observer at their location.
[18:23:03]	Major-General Sir Issac Brock KB entered observer.
[18:23:07]	Major-General Sir Issac Brock KB exited observer at their location.
[18:23:08]	Major-General Sir Issac Brock KB entered observer.
[18:23:09]	Ava Carter used command '/PM major was it?'.
[18:23:17]	Major-General Sir Issac Brock KB used command '/Reply yes'.
[18:23:19]	Ava Carter used command '/PM major i swear to god i changed it'.
[18:23:36]	Major-General Sir Issac Brock KB used command '/Reply just make a new bird'.
[18:23:36]	Major-General Sir Issac Brock KB exited observer at their location.
[18:23:37]	Major-General Sir Issac Brock KB entered observer.
[18:23:38]	Major-General Sir Issac Brock KB exited observer at their location.
[18:23:42]	Major-General Sir Issac Brock KB entered observer.
[18:23:42]	Ava Carter used command '/PM major i luv birds'.
[18:24:00]	[OOC] PVT Nathan Pierce: brb
[18:24:03]	[OOC] Ava Carter: major a bird hater frfr
[18:24:05]	[OOC] Richard Barley: dam. Suprising a hospital does not have combine air vents
[18:24:15]	CCA.C17-UNION.OfC.56321 has gained 10 tokens.
[18:24:25]	[OOC] CCA.C17-UNION.OfC.56321: no you won't 
[18:24:46]	PVT Nathan Pierce ran 'View' on item 'Notepad' (#36253)
[18:25:19]	[OOC] Major-General Sir Issac Brock KB: speech impediments are VERBOTEN
[18:25:24]	[OOC] Ava Carter: brb
[18:25:29]	[OOC] CCA.C17-UNION.i5.83253: ITS NERVOUSNESS
[18:25:31]	[ME] CCA.C17-UNION.OfC.56321: huffed, stepping forward he'd grab upon the poor units mask, yelling out in front of him. - "Do you *honestly* think a citizen will take you seriously speaking like that, huh?"
[18:25:39]	[OOC] Major-General Sir Issac Brock KB: VERBOTEN!!!!
[18:26:01]	Richard Barley used command '/Request Not an emergency but I have not seen a unit. We could use some Air ventilation equipment in the Hospital. We need them so we can check the throats of patience and look them over without having the constrictive suits or respirators being worn.'.
[18:26:03]	[ME] CCA.C17-UNION.i5.83253: Would begin to bite his lower lip even more
[18:26:14]	[OOC] Richard Barley: Patients*
[18:26:35]	Major-General Sir Issac Brock KB entered observer.
[18:26:37]	Major-General Sir Issac Brock KB exited observer at their location.
[18:26:37]	Major-General Sir Issac Brock KB entered observer.
[18:26:45]	[ME] CCA.C17-UNION.OfC.56321: let go of him, huffing before stepping back. - "That's *officer* to you, and good. If I hear any more of that stuttering you and me will be having an issue... now..."
[18:27:00]	DRD loaded the character 'Dispatch'
[18:27:01]	Dispatch entered observer.
[18:27:32]	[OOC] CCA.C17-UNION.OfC.56321: thank you Dispatch for the visual download, very cool 
[18:27:35]	Dispatch used command '/Radio Conscript Unit Pierce: Exit 404 zone immediately. Five rank points have been deducted.'.
[18:27:55]	Richard Barley used command '/PM harris we could use combine vents in the hospital lol.'.
[18:27:59]	PVT Nathan Pierce used command '/Radio Right, just checking through.'.
[18:28:19]	Dispatch used command '/PM nathan Connies don't go in the sewer unless deployed'.
[18:28:23]	CCA.C17-UNION.OfC.56321 used command '/Radio Negative, ripcord immediately, Conscript units of your rank aren't to be acting on their own.'.
[18:28:24]	[OOC] PVT Nathan Pierce: Rank points, lies
[18:28:48]	PVT Nathan Pierce used command '/Radio Already back inside.'.
[18:29:09]	CCA.C17-UNION.OfC.56321 used command '/Radio Good, it'll be in your best interest to not try something like that again, or 5 rank points will be the least of your worries.'.
[18:29:15]	CCA.C17-UNION.OfC.56321 has gained 10 tokens.
[18:29:30]	PVT Nathan Pierce used command '/Radio Nobody told me that there are rank points around here.'.
[18:29:31]	Dispatch ran 'EquipUn' on item 'LA71 (Pulse SMG)' (#7430)
[18:29:32]	Dispatch ran 'Equip' on item 'LA71 (Pulse SMG)' (#7430)
[18:29:43]	Lildirtyharry04 (STEAM_0:0:247487472) has disconnected.
[18:29:50]	[ME] CCA.C17-UNION.OfC.56321: cleared his throat. - "Right, good, recite the ranking system of the Civil Authority for me ."
[18:29:55]	Dispatch used command '/rooc bro it was just a fluff thing :('.
[18:30:09]	CCA.C17-UNION.OfC.56321 used command '/rooc (IC they'd exist, OOC they wouldn't)'.
[18:30:09]	Dispatch exited observer at their location.
[18:30:11]	Dispatch entered observer.
[18:30:23]	Ephraim 'Loew' Harris has taken 2 damage from Ephraim 'Loew' Harris.
[18:30:38]	Ephraim 'Loew' Harris has taken 2 damage from Ephraim 'Loew' Harris.
[18:30:53]	[OOC] PVT Nathan Pierce: go away dispatch
[18:30:53]	Ephraim 'Loew' Harris has taken 2 damage from Ephraim 'Loew' Harris.
[18:31:08]	Ephraim 'Loew' Harris has taken 2 damage from Ephraim 'Loew' Harris.
[18:31:23]	Ephraim 'Loew' Harris has taken 2 damage from Ephraim 'Loew' Harris.
[18:31:28]	Weaponized Turtles has connected.
[18:31:38]	Ephraim 'Loew' Harris has taken 2 damage from Ephraim 'Loew' Harris.
[18:31:53]	Ephraim 'Loew' Harris has taken 2 damage from Ephraim 'Loew' Harris.
[18:31:57]	Weaponized Turtles loaded the character 'Jacob Desmone'
[18:32:04]	[LOOC] CCA.C17-UNION.i5.83253: GUUHHHH FFS THATS WHAT I WAS WORRIED ABOUT
[18:32:08]	[OOC] Jacob Desmone: hello ppl
[18:32:08]	Ephraim 'Loew' Harris has taken 2 damage from Ephraim 'Loew' Harris.
[18:32:13]	[LOOC] CCA.C17-UNION.i5.83253: I JUST REALIZED I HAD THEM MIXED
[18:32:18]	[OOC] Jacob Desmone: uh oh
[18:32:20]	[OOC] Jacob Desmone: unhion ofc
[18:32:23]	[OOC] Jacob Desmone: and union i5
[18:32:24]	Ephraim 'Loew' Harris has taken 2 damage from Ephraim 'Loew' Harris.
[18:32:28]	Dispatch used command '/CharSetName union'.
[18:32:35]	[OOC] Jacob Desmone: and dispatch
[18:32:36]	Dispatch used command '/CharSetName CCA.C17-UNION.OfC.56321 CCA.C17-ONION.OfC.56321'.
[18:32:39]	Ephraim 'Loew' Harris has taken 2 damage from Ephraim 'Loew' Harris.
[18:32:45]	[OOC] Jacob Desmone: is this a CP raid thingy?
[18:32:54]	Ephraim 'Loew' Harris has taken 2 damage from Ephraim 'Loew' Harris.
[18:32:56]	[OOC] Dispatch: i was shouting at a conscript
[18:33:02]	[OOC] CCA.C17-UNION.i5.83253: gotta find out IC about that sorta thing
[18:33:05]	[OOC] PVT Nathan Pierce: abusive parent
[18:33:09]	Ephraim 'Loew' Harris has taken 2 damage from Ephraim 'Loew' Harris.
[18:33:13]	[OOC] Jacob Desmone: well im asking toi see if I should swap to my union
[18:33:24]	Ephraim 'Loew' Harris has taken 2 damage from Ephraim 'Loew' Harris.
[18:33:39]	Ephraim 'Loew' Harris has taken 2 damage from Ephraim 'Loew' Harris.
[18:33:40]	[ME] CCA.C17-ONION.OfC.56321: stepped forward, yelling out through his vocoder. - "Rct, I5, I4, I3, I2, I1, EpU, SqL, OfC, DvL, CmD, SeC. Those are the ranks of the Union, remember them well or you'll never make it past i4."
[18:33:54]	Ephraim 'Loew' Harris has taken 2 damage from Ephraim 'Loew' Harris.
[18:34:02]	[OOC] Jacob Desmone: dumb conscript
[18:34:04]	[OOC] Jacob Desmone: your justy a ota
[18:34:09]	Ephraim 'Loew' Harris has taken 2 damage from Ephraim 'Loew' Harris.
[18:34:10]	[OOC] Jacob Desmone: but weaker
[18:34:15]	CCA.C17-ONION.OfC.56321 has gained 10 tokens.
[18:34:20]	[OOC] PVT Nathan Pierce: that means I am stronger than rebels
[18:34:24]	Ephraim 'Loew' Harris has taken 2 damage from Ephraim 'Loew' Harris.
[18:34:26]	[OOC] Jacob Desmone: incorrect
[18:34:28]	[OOC] Jacob Desmone: the rebels one shot you
[18:34:30]	Dispatch used command '/CharSetName onion'.
[18:34:33]	[OOC] Jacob Desmone: they have snipers
[18:34:34]	Dispatch used command '/CharSetName CCA.C17-ONION.OfC.56321 CCA.C17-UNION.OfC.56321'.
[18:34:39]	Ephraim 'Loew' Harris has taken 2 damage from Ephraim 'Loew' Harris.
[18:34:43]	[OOC] Ava Carter: *crossbows
[18:34:44]	[OOC] PVT Nathan Pierce: goofy aah aim
[18:34:48]	CCA.C17-UNION.i5.83253 has gained 10 tokens.
[18:34:49]	[OOC] Jacob Desmone: ava
[18:34:51]	[OOC] Jacob Desmone: snipe pierce
[18:34:52]	[OOC] Jacob Desmone: pls
[18:34:52]	[OOC] CCA.C17-UNION.i5.83253: You so sure?
[18:34:54]	Ephraim 'Loew' Harris has taken 2 damage from Ephraim 'Loew' Harris.
[18:34:59]	[OOC] Ava Carter: no
[18:35:09]	Ephraim 'Loew' Harris has taken 2 damage from Ephraim 'Loew' Harris.
[18:35:09]	Ephraim 'Loew' Harris has killed Ephraim 'Loew' Harris.
[18:35:09]	[OOC] PVT Nathan Pierce: Dispatch fuck off
[18:35:12]	Ava Carter used command '/PM jacob I NEED PERMISSION REMEMBER?'.
[18:35:41]	DRD loaded the character 'Paul-Henri Cartier'
[18:35:41]	Ephraim 'Loew' Harris has killed Ephraim 'Loew' Harris.
[18:35:45]	Paul-Henri Cartier entered observer.
[18:35:56]	[OOC] Jacob Desmone: dispatch
[18:35:59]	[OOC] Jacob Desmone: get your conscript boy
[18:36:01]	[OOC] Jacob Desmone: underscontrol
[18:36:06]	[OOC] Jacob Desmone: hes patrolling like a cp and aiming a gun at me
[18:36:07]	[OOC] Jacob Desmone: smh
[18:36:22]	[OOC] PVT Nathan Pierce: stinky rebel
[18:36:32]	[OOC] Jacob Desmone: you smell like provolone
[18:37:28]	[LOOC] PVT Nathan Pierce: shut up you cracker, I will beat your ass
[18:37:32]	Paul-Henri Cartier used command '/PM Nathan Oh, keep in mind, you're not really supposed to patrol as a Connie, you just sit at the nexus. But we're on sociostatus red, so it's forgiveable'.
[18:37:52]	matt saton loaded the character 'CCA.C17-GRID.i3.10945'
[18:38:08]	PVT Nathan Pierce used command '/Radio I'm kinda supposed to guard warehouses and factory aswell.'.
[18:38:11]	[LOOC] PVT Nathan Pierce: oops
[18:38:20]	[LOOC] PVT Nathan Pierce: void, wrong chat
[18:38:27]	[LOOC] PVT Nathan Pierce: you cracker
[18:38:28]	[LOOC] Jacob Desmone: LMAO
[18:38:29]	CCA.C17-UNION.OfC.56321 used command '/Radio ... Yes, those are the tasks of Conscripts such as yourself.'.
[18:38:34]	[LOOC] PVT Nathan Pierce: you cracker
[18:38:40]	[LOOC] PVT Nathan Pierce: suck a cracker
[18:39:12]	[OOC] CCA.C17-GRID.i3.10945: oh hey i cna flag odwn
[18:39:15]	CCA.C17-UNION.OfC.56321 has gained 10 tokens.
[18:39:17]	[OOC] Jacob Desmone: yes
[18:39:21]	PVT Nathan Pierce used command '/ar wrong chat momento'.
[18:39:21]	matt saton loaded the character 'CCA.C17-GRID.EpU.06912'
[18:39:26]	[OOC] Jacob Desmone: make me grid
[18:39:31]	CCA.C17-GRID.EpU.06912 used command '/Radio Hey, heads up for those of you who haven't heard.'.
[18:39:31]	[OOC] Ava Carter: FRFR
[18:39:32]	CCA.C17-GRID.EpU.06912 entered observer.
[18:39:32]	CCA.C17-GRID.EpU.06912 exited observer at their location.
[18:39:32]	CCA.C17-GRID.EpU.06912 entered observer.
[18:39:33]	CCA.C17-GRID.EpU.06912 exited observer at their location.
[18:39:33]	CCA.C17-GRID.EpU.06912 entered observer.
[18:39:33]	CCA.C17-GRID.EpU.06912 exited observer at their location.
[18:39:37]	[OOC] CCA.C17-UNION.OfC.56321: Doing a training 
[18:39:37]	[OOC] CCA.C17-GRID.EpU.06912: i asked DRD to do it yesterday
[18:39:38]	CCA.C17-GRID.EpU.06912 entered observer.
[18:39:39]	CCA.C17-GRID.EpU.06912 exited observer at their location.
[18:39:39]	CCA.C17-GRID.EpU.06912 entered observer.
[18:39:42]	CCA.C17-GRID.EpU.06912 exited observer at their location.
[18:39:43]	[OOC] Paul-Henri Cartier: no you didnt
[18:39:45]	[OOC] Paul-Henri Cartier: but okay
[18:39:48]	[OOC] Ava Carter: drd is just lazy
[18:39:50]	[OOC] Ava Carter: smh
[18:39:51]	[OOC] Paul-Henri Cartier: let me get on my uh
[18:39:53]	[OOC] CCA.C17-GRID.EpU.06912: DRD isn't lazy
[18:39:53]	[OOC] Jacob Desmone: I remember the conversation
[18:39:53]	[OOC] Paul-Henri Cartier: my funny man
[18:39:55]	[OOC] PVT Nathan Pierce: Gosh, I want to shoot that cracker
[18:40:03]	DRD loaded the character 'CCA.i17-GRID.DvL.24710'
[18:40:03]	[OOC] Jacob Desmone: just do the training later on your time drd
[18:40:03]	matt saton loaded the character 'CCA.C17-GRID.i3.10945'
[18:40:05]	CCA.i17-GRID.DvL.24710 entered observer.
[18:40:05]	[OOC] Jacob Desmone: its ok
[18:40:12]	[OOC] CCA.i17-GRID.DvL.24710: who wanted grid
[18:40:14]	[OOC] Jacob Desmone: me
[18:40:15]	[OOC] CCA.i17-GRID.DvL.24710: flag on
[18:40:17]	Weaponized Turtles loaded the character 'CCA.C17-UNION.i5.94233'
[18:40:18]	[OOC] CCA.C17-UNION.i5.94233: ok
[18:40:24]	Dilly_ has connected.
[18:40:29]	[OOC] Ava Carter: only 1 citizen :skull:
[18:40:31]	[OOC] CCA.C17-UNION.i5.94233: L
[18:40:33]	[OOC] CCA.C17-GRID.i3.10945: dilly's gonna shit when he flags up
[18:40:36]	[ME] CCA.C17-UNION.OfC.56321: roughly grasped upon the units left shoulder, sticking his right boot atop the mans right heel. He'd start attempting to tie the man, if he resisted of course this'd be different.
[18:40:41]	CCA.i17-GRID.DvL.24710 exited observer at their location.
[18:40:43]	[OOC] CCA.C17-UNION.OfC.56321: I AM DOING A  TRAINING 
[18:40:43]	[OOC] CCA.C17-UNION.i5.94233: COMBINE RP
[18:40:45]	matt saton loaded the character 'CPT Nathan Vance'
[18:40:46]	[OOC] CCA.C17-UNION.i5.94233: LTES GOOO
[18:40:51]	CPT Nathan Vance entered observer.
[18:40:52]	CPT Nathan Vance exited observer at their location.
[18:40:58]	[OOC] CCA.C17-UNION.i5.94233: CPT NATHANS ON TO YELL AT THE PVT
[18:41:01]	CCA.i17-GRID.DvL.24710 used the 'Armory Supply' vendor.
[18:41:04]	CCA.i17-GRID.DvL.24710 has gained 0 tokens.
[18:41:04]	CCA.i17-GRID.DvL.24710 has gained a 'Pulse Ammunition' #40076.
[18:41:05]	[OOC] CCA.C17-UNION.i5.94233: one day I will join ota and me and evan
[18:41:06]	[ME] CCA.C17-UNION.i5.83253: Would allow the Officer to tie himself
[18:41:07]	[OOC] CCA.C17-UNION.i5.94233: will be OTA buddies
[18:41:11]	[OOC] CPT Nathan Vance: i am? what did the private do
[18:41:11]	CCA.i17-GRID.DvL.24710 ran 'Equip' on item 'SPAS-12' (#19642)
[18:41:12]	CCA.i17-GRID.DvL.24710 ran 'Equip' on item '357' (#19640)
[18:41:13]	[OOC] PVT Nathan Pierce: Shut the fuck up Nathan, I am a better Nathan
[18:41:14]	CCA.i17-GRID.DvL.24710 ran 'EquipUn' on item 'SPAS-12' (#19642)
[18:41:15]	CCA.i17-GRID.DvL.24710 ran 'Equip' on item 'SPAS-12' (#19642)
[18:41:18]	CCA.i17-GRID.DvL.24710 ran 'EquipUn' on item 'SPAS-12' (#19642)
[18:41:18]	[OOC] CCA.C17-UNION.i5.94233: WOAHH
[18:41:20]	CCA.i17-GRID.DvL.24710 ran 'Equip' on item '357' (#19640)
[18:41:21]	CCA.i17-GRID.DvL.24710 ran 'Equip' on item 'SPAS-12' (#19642)
[18:41:22]	[OOC] Ava Carter: shut up nathan
[18:41:22]	[OOC] PVT Nathan Pierce: Nathan is such a jackass!
[18:41:29]	CCA.i17-GRID.DvL.24710 used the 'Armory Supply' vendor.
[18:41:33]	[OOC] CPT Nathan Vance: what did nathan pierce do
[18:41:33]	CCA.i17-GRID.DvL.24710 has gained 0 tokens.
[18:41:33]	CCA.i17-GRID.DvL.24710 has gained a 'Zip Tie' #40077.
[18:41:34]	CCA.i17-GRID.DvL.24710 has gained 0 tokens.
[18:41:34]	CCA.i17-GRID.DvL.24710 has gained a 'Zip Tie' #40078.
[18:41:34]	CCA.i17-GRID.DvL.24710 has gained 0 tokens.
[18:41:34]	CCA.i17-GRID.DvL.24710 has gained a 'Zip Tie' #40079.
[18:41:37]	[OOC] PVT Nathan Pierce: nothing
[18:41:41]	[OOC] CCA.C17-UNION.i5.94233: he smells like swiss cheese
[18:41:44]	CCA.i17-GRID.DvL.24710 ran 'Frequency' on item 'Handheld Radio' (#20354)
[18:41:46]	[OOC] PVT Nathan Pierce: Shut up you cracker
[18:41:48]	CCA.i17-GRID.DvL.24710 used command '/SetFreq 204.1'.
[18:41:49]	[OOC] CCA.C17-UNION.i5.94233: tell him to get his aim corrected he has shot me
[18:41:49]	[OOC] Ava Carter: he smells like rusty cheese
[18:41:52]	[OOC] CCA.C17-UNION.i5.94233: ONG
[18:41:55]	CCA.i17-GRID.DvL.24710 used command '/ViewObjectives'.
[18:41:55]	[OOC] CPT Nathan Vance: he shot you?
[18:41:56]	[OOC] CCA.C17-UNION.i5.94233: grid dvl
[18:41:59]	[OOC] CCA.C17-UNION.i5.94233: on accident lmao
[18:42:00]	CCA.i17-GRID.DvL.24710 ran 'Frequency' on item 'Handheld Radio' (#20354)
[18:42:01]	[OOC] PVT Nathan Pierce: lies
[18:42:02]	[OOC] CCA.C17-UNION.i5.94233: he was shooting a criminal
[18:42:04]	CCA.i17-GRID.DvL.24710 used command '/SetFreq 201.4'.
[18:42:05]	[OOC] CCA.C17-UNION.i5.94233: and he shot my guy
[18:42:06]	[OOC] PVT Nathan Pierce: yes
[18:42:06]	CCA.i17-GRID.DvL.24710 used command '/rooc check'.
[18:42:07]	[OOC] CPT Nathan Vance: oh, crossfire
[18:42:08]	CCA.C17-UNION.i5.94233 used command '/rooc hi'.
[18:42:11]	CPT Nathan Vance used command '/rooc i read'.
[18:42:11]	[OOC] CCA.C17-UNION.i5.94233: YEA
[18:42:13]	[OOC] CCA.C17-UNION.i5.94233: and he SUCKS
[18:42:16]	[OOC] CCA.C17-UNION.i5.94233: also I sell him booze 
[18:42:17]	[OOC] PVT Nathan Pierce: It's ok, it was a rebel
[18:42:31]	[ME] CCA.C17-UNION.OfC.56321: tied the UNION, roughly grasping over the mans pockets and obviously points of hiding equipment. The demonstration would be rather violent, showing little care for the units personal space. - "Keep yourself on top of the suspect, your boot on their heel allows for less movement if they try to make a run for it, along with this keep a hand on one shoulder. Tying isn't needed ,but recommended."
